銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高
SINDU-USE,NYダウ,,2004/11/1,0:0:0,10054.39,10054.39,10054.39,10054.39,NaN
SINDU-USE,NYダウ,,2004/11/2,0:0:0,10035.73,10035.73,10035.73,10035.73,NaN
SINDU-USE,NYダウ,,2004/11/3,0:0:0,10137.05,10137.05,10137.05,10137.05,NaN
SINDU-USE,NYダウ,,2004/11/4,0:0:0,10314.76,10314.76,10314.76,10314.76,NaN
SINDU-USE,NYダウ,,2004/11/5,0:0:0,10387.54,10387.54,10387.54,10387.54,NaN
SINDU-USE,NYダウ,,2004/11/8,0:0:0,10391.31,10391.31,10391.31,10391.31,NaN
SINDU-USE,NYダウ,,2004/11/9,0:0:0,10386.37,10386.37,10386.37,10386.37,NaN
SINDU-USE,NYダウ,,2004/11/10,0:0:0,10385.48,10385.48,10385.48,10385.48,NaN
SINDU-USE,NYダウ,,2004/11/11,0:0:0,10469.84,10469.84,10469.84,10469.84,NaN
SINDU-USE,NYダウ,,2004/11/12,0:0:0,10539.01,10539.01,10539.01,10539.01,NaN
SINDU-USE,NYダウ,,2004/11/15,0:0:0,10550.24,10550.24,10550.24,10550.24,NaN
SINDU-USE,NYダウ,,2004/11/16,0:0:0,10487.65,10487.65,10487.65,10487.65,NaN
SINDU-USE,NYダウ,,2004/11/17,0:0:0,10549.57,10549.57,10549.57,10549.57,NaN
SINDU-USE,NYダウ,,2004/11/18,0:0:0,10572.55,10572.55,10572.55,10572.55,NaN
SINDU-USE,NYダウ,,2004/11/19,0:0:0,10456.91,10456.91,10456.91,10456.91,NaN
SINDU-USE,NYダウ,,2004/11/22,0:0:0,10489.42,10489.42,10489.42,10489.42,NaN
SINDU-USE,NYダウ,,2004/11/23,0:0:0,10492.60,10492.60,10492.60,10492.60,NaN
SINDU-USE,NYダウ,,2004/11/24,0:0:0,10520.31,10520.31,10520.31,10520.31,NaN
SINDU-USE,NYダウ,,2004/11/26,0:0:0,10522.23,10522.23,10522.23,10522.23,NaN
SINDU-USE,NYダウ,,2004/11/29,0:0:0,10475.90,10475.90,10475.90,10475.90,NaN
SINDU-USE,NYダウ,,2004/11/30,0:0:0,10428.02,10428.02,10428.02,10428.02,NaN
SINDU-USE,NYダウ,,2004/12/1,0:0:0,10590.22,10590.22,10590.22,10590.22,NaN
SINDU-USE,NYダウ,,2004/12/2,0:0:0,10585.12,10585.12,10585.12,10585.12,NaN
SINDU-USE,NYダウ,,2004/12/3,0:0:0,10592.21,10592.21,10592.21,10592.21,NaN
SINDU-USE,NYダウ,,2004/12/6,0:0:0,10547.06,10547.06,10547.06,10547.06,NaN
SINDU-USE,NYダウ,,2004/12/7,0:0:0,10440.58,10440.58,10440.58,10440.58,NaN
SINDU-USE,NYダウ,,2004/12/8,0:0:0,10494.23,10494.23,10494.23,10494.23,NaN
SINDU-USE,NYダウ,,2004/12/9,0:0:0,10552.82,10552.82,10552.82,10552.82,NaN
SINDU-USE,NYダウ,,2004/12/10,0:0:0,10543.22,10543.22,10543.22,10543.22,NaN
SINDU-USE,NYダウ,,2004/12/13,0:0:0,10638.32,10638.32,10638.32,10638.32,NaN
SINDU-USE,NYダウ,,2004/12/14,0:0:0,10676.45,10676.45,10676.45,10676.45,NaN
SINDU-USE,NYダウ,,2004/12/15,0:0:0,10691.45,10691.45,10691.45,10691.45,NaN
SINDU-USE,NYダウ,,2004/12/16,0:0:0,10705.64,10705.64,10705.64,10705.64,NaN
SINDU-USE,NYダウ,,2004/12/17,0:0:0,10649.92,10649.92,10649.92,10649.92,NaN
SINDU-USE,NYダウ,,2004/12/20,0:0:0,10661.60,10661.60,10661.60,10661.60,NaN
SINDU-USE,NYダウ,,2004/12/21,0:0:0,10759.43,10759.43,10759.43,10759.43,NaN
SINDU-USE,NYダウ,,2004/12/22,0:0:0,10815.89,10815.89,10815.89,10815.89,NaN
SINDU-USE,NYダウ,,2004/12/23,0:0:0,10827.12,10827.12,10827.12,10827.12,NaN
SINDU-USE,NYダウ,,2004/12/27,0:0:0,10776.13,10776.13,10776.13,10776.13,NaN
SINDU-USE,NYダウ,,2004/12/28,0:0:0,10854.54,10854.54,10854.54,10854.54,NaN
SINDU-USE,NYダウ,,2004/12/29,0:0:0,10829.19,10829.19,10829.19,10829.19,NaN
SINDU-USE,NYダウ,,2004/12/30,0:0:0,10800.30,10800.30,10800.30,10800.30,NaN
SINDU-USE,NYダウ,,2004/12/31,0:0:0,10783.01,10783.01,10783.01,10783.01,NaN
SINDU-USE,NYダウ,,2005/1/3,0:0:0,10729.43,10729.43,10729.43,10729.43,NaN
SINDU-USE,NYダウ,,2005/1/4,0:0:0,10630.78,10630.78,10630.78,10630.78,NaN
SINDU-USE,NYダウ,,2005/1/5,0:0:0,10597.83,10597.83,10597.83,10597.83,NaN
SINDU-USE,NYダウ,,2005/1/6,0:0:0,10622.88,10622.88,10622.88,10622.88,NaN
SINDU-USE,NYダウ,,2005/1/7,0:0:0,10603.96,10603.96,10603.96,10603.96,NaN
SINDU-USE,NYダウ,,2005/1/10,0:0:0,10621.03,10621.03,10621.03,10621.03,NaN
SINDU-USE,NYダウ,,2005/1/11,0:0:0,10556.22,10556.22,10556.22,10556.22,NaN
SINDU-USE,NYダウ,,2005/1/12,0:0:0,10617.78,10617.78,10617.78,10617.78,NaN
SINDU-USE,NYダウ,,2005/1/13,0:0:0,10505.83,10505.83,10505.83,10505.83,NaN
SINDU-USE,NYダウ,,2005/1/14,0:0:0,10558.00,10558.00,10558.00,10558.00,NaN
SINDU-USE,NYダウ,,2005/1/18,0:0:0,10628.79,10628.79,10628.79,10628.79,NaN
SINDU-USE,NYダウ,,2005/1/19,0:0:0,10539.97,10539.97,10539.97,10539.97,NaN
SINDU-USE,NYダウ,,2005/1/20,0:0:0,10471.47,10471.47,10471.47,10471.47,NaN
SINDU-USE,NYダウ,,2005/1/21,0:0:0,10392.99,10392.99,10392.99,10392.99,NaN
SINDU-USE,NYダウ,,2005/1/24,0:0:0,10368.61,10368.61,10368.61,10368.61,NaN
SINDU-USE,NYダウ,,2005/1/25,0:0:0,10461.56,10461.56,10461.56,10461.56,NaN
SINDU-USE,NYダウ,,2005/1/26,0:0:0,10498.59,10498.59,10498.59,10498.59,NaN
SINDU-USE,NYダウ,,2005/1/27,0:0:0,10467.40,10467.40,10467.40,10467.40,NaN
SINDU-USE,NYダウ,,2005/1/28,0:0:0,10427.20,10427.20,10427.20,10427.20,NaN
SINDU-USE,NYダウ,,2005/1/31,0:0:0,10489.94,10489.94,10489.94,10489.94,NaN
SINDU-USE,NYダウ,,2005/2/1,0:0:0,10551.94,10551.94,10551.94,10551.94,NaN
SINDU-USE,NYダウ,,2005/2/2,0:0:0,10596.79,10596.79,10596.79,10596.79,NaN
SINDU-USE,NYダウ,,2005/2/3,0:0:0,10593.10,10593.10,10593.10,10593.10,NaN
SINDU-USE,NYダウ,,2005/2/4,0:0:0,10716.13,10716.13,10716.13,10716.13,NaN
SINDU-USE,NYダウ,,2005/2/7,0:0:0,10715.76,10715.76,10715.76,10715.76,NaN
SINDU-USE,NYダウ,,2005/2/8,0:0:0,10724.63,10724.63,10724.63,10724.63,NaN
SINDU-USE,NYダウ,,2005/2/9,0:0:0,10664.11,10664.11,10664.11,10664.11,NaN
SINDU-USE,NYダウ,,2005/2/10,0:0:0,10749.61,10749.61,10749.61,10749.61,NaN
SINDU-USE,NYダウ,,2005/2/11,0:0:0,10796.01,10796.01,10796.01,10796.01,NaN
SINDU-USE,NYダウ,,2005/2/14,0:0:0,10791.13,10791.13,10791.13,10791.13,NaN
SINDU-USE,NYダウ,,2005/2/15,0:0:0,10837.32,10837.32,10837.32,10837.32,NaN
SINDU-USE,NYダウ,,2005/2/16,0:0:0,10834.88,10834.88,10834.88,10834.88,NaN
SINDU-USE,NYダウ,,2005/2/17,0:0:0,10754.26,10754.26,10754.26,10754.26,NaN
SINDU-USE,NYダウ,,2005/2/18,0:0:0,10785.22,10785.22,10785.22,10785.22,NaN
SINDU-USE,NYダウ,,2005/2/22,0:0:0,10611.20,10611.20,10611.20,10611.20,NaN
SINDU-USE,NYダウ,,2005/2/23,0:0:0,10673.79,10673.79,10673.79,10673.79,NaN
SINDU-USE,NYダウ,,2005/2/24,0:0:0,10748.79,10748.79,10748.79,10748.79,NaN
SINDU-USE,NYダウ,,2005/2/25,0:0:0,10841.60,10841.60,10841.60,10841.60,NaN
SINDU-USE,NYダウ,,2005/2/28,0:0:0,10766.23,10766.23,10766.23,10766.23,NaN
SINDU-USE,NYダウ,,2005/3/1,0:0:0,10830.00,10830.00,10830.00,10830.00,NaN
SINDU-USE,NYダウ,,2005/3/2,0:0:0,10811.97,10811.97,10811.97,10811.97,NaN
SINDU-USE,NYダウ,,2005/3/3,0:0:0,10833.03,10833.03,10833.03,10833.03,NaN
SINDU-USE,NYダウ,,2005/3/4,0:0:0,10940.55,10940.55,10940.55,10940.55,NaN
SINDU-USE,NYダウ,,2005/3/7,0:0:0,10936.86,10936.86,10936.86,10936.86,NaN
SINDU-USE,NYダウ,,2005/3/8,0:0:0,10912.62,10912.62,10912.62,10912.62,NaN
SINDU-USE,NYダウ,,2005/3/9,0:0:0,10805.62,10805.62,10805.62,10805.62,NaN
SINDU-USE,NYダウ,,2005/3/10,0:0:0,10851.51,10851.51,10851.51,10851.51,NaN
SINDU-USE,NYダウ,,2005/3/11,0:0:0,10774.36,10774.36,10774.36,10774.36,NaN
SINDU-USE,NYダウ,,2005/3/14,0:0:0,10804.51,10804.51,10804.51,10804.51,NaN
SINDU-USE,NYダウ,,2005/3/15,0:0:0,10745.10,10745.10,10745.10,10745.10,NaN
SINDU-USE,NYダウ,,2005/3/16,0:0:0,10633.07,10633.07,10633.07,10633.07,NaN
SINDU-USE,NYダウ,,2005/3/17,0:0:0,10626.35,10626.35,10626.35,10626.35,NaN
SINDU-USE,NYダウ,,2005/3/18,0:0:0,10629.67,10629.67,10629.67,10629.67,NaN
SINDU-USE,NYダウ,,2005/3/21,0:0:0,10565.39,10565.39,10565.39,10565.39,NaN
SINDU-USE,NYダウ,,2005/3/22,0:0:0,10470.51,10470.51,10470.51,10470.51,NaN
SINDU-USE,NYダウ,,2005/3/23,0:0:0,10456.02,10456.02,10456.02,10456.02,NaN
SINDU-USE,NYダウ,,2005/3/24,0:0:0,10442.87,10442.87,10442.87,10442.87,NaN
SINDU-USE,NYダウ,,2005/3/28,0:0:0,10485.65,10485.65,10485.65,10485.65,NaN
SINDU-USE,NYダウ,,2005/3/29,0:0:0,10405.70,10405.70,10405.70,10405.70,NaN
SINDU-USE,NYダウ,,2005/3/30,0:0:0,10540.93,10540.93,10540.93,10540.93,NaN
SINDU-USE,NYダウ,,2005/3/31,0:0:0,10503.76,10503.76,10503.76,10503.76,NaN
