銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高
SINDU-USE,NYダウ,,2019/3/15,0:0:0,25848.87,25848.87,25848.87,25848.87,NaN
SINDU-USE,NYダウ,,2019/3/18,0:0:0,25914.10,25914.10,25914.10,25914.10,NaN
SINDU-USE,NYダウ,,2019/3/19,0:0:0,25887.38,25887.38,25887.38,25887.38,NaN
SINDU-USE,NYダウ,,2019/3/20,0:0:0,25745.67,25745.67,25745.67,25745.67,NaN
SINDU-USE,NYダウ,,2019/3/21,0:0:0,25962.51,25962.51,25962.51,25962.51,NaN
SINDU-USE,NYダウ,,2019/3/22,0:0:0,25502.32,25502.32,25502.32,25502.32,NaN
SINDU-USE,NYダウ,,2019/3/25,0:0:0,25516.83,25516.83,25516.83,25516.83,NaN
SINDU-USE,NYダウ,,2019/3/26,0:0:0,25657.73,25657.73,25657.73,25657.73,NaN
SINDU-USE,NYダウ,,2019/3/27,0:0:0,25625.59,25625.59,25625.59,25625.59,NaN
SINDU-USE,NYダウ,,2019/3/28,0:0:0,25717.46,25717.46,25717.46,25717.46,NaN
SINDU-USE,NYダウ,,2019/3/29,0:0:0,25928.68,25928.68,25928.68,25928.68,NaN
SINDU-USE,NYダウ,,2019/4/1,0:0:0,26258.42,26258.42,26258.42,26258.42,NaN
SINDU-USE,NYダウ,,2019/4/2,0:0:0,26179.13,26179.13,26179.13,26179.13,NaN
SINDU-USE,NYダウ,,2019/4/3,0:0:0,26218.13,26218.13,26218.13,26218.13,NaN
SINDU-USE,NYダウ,,2019/4/4,0:0:0,26384.63,26384.63,26384.63,26384.63,NaN
SINDU-USE,NYダウ,,2019/4/5,0:0:0,26424.99,26424.99,26424.99,26424.99,NaN
SINDU-USE,NYダウ,,2019/4/8,0:0:0,26341.02,26341.02,26341.02,26341.02,NaN
SINDU-USE,NYダウ,,2019/4/9,0:0:0,26150.58,26150.58,26150.58,26150.58,NaN
