銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高
BHSI60-HKS,香港ハンセン指数,,2011/6/30,0:0:0,22398.10,22398.10,22398.10,22398.10,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/4,0:0:0,22770.47,22770.47,22770.47,22770.47,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/5,0:0:0,22747.95,22747.95,22747.95,22747.95,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/6,0:0:0,22517.55,22517.55,22517.55,22517.55,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/7,0:0:0,22530.18,22530.18,22530.18,22530.18,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/8,0:0:0,22726.43,22726.43,22726.43,22726.43,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/11,0:0:0,22347.23,22347.23,22347.23,22347.23,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/12,0:0:0,21663.16,21663.16,21663.16,21663.16,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/13,0:0:0,21926.88,21926.88,21926.88,21926.88,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/14,0:0:0,21940.20,21940.20,21940.20,21940.20,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/15,0:0:0,21875.38,21875.38,21875.38,21875.38,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/18,0:0:0,21804.75,21804.75,21804.75,21804.75,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/19,0:0:0,21902.40,21902.40,21902.40,21902.40,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/20,0:0:0,22003.69,22003.69,22003.69,22003.69,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/21,0:0:0,21987.29,21987.29,21987.29,21987.29,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/22,0:0:0,22444.80,22444.80,22444.80,22444.80,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/25,0:0:0,22293.29,22293.29,22293.29,22293.29,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/26,0:0:0,22572.08,22572.08,22572.08,22572.08,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/27,0:0:0,22541.69,22541.69,22541.69,22541.69,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/28,0:0:0,22570.74,22570.74,22570.74,22570.74,NaN
BHSI60-HKS,香港ハンセン指数,,2011/7/29,0:0:0,22440.25,22440.25,22440.25,22440.25,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/1,0:0:0,22663.37,22663.37,22663.37,22663.37,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/2,0:0:0,22421.46,22421.46,22421.46,22421.46,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/3,0:0:0,21992.72,21992.72,21992.72,21992.72,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/4,0:0:0,21884.74,21884.74,21884.74,21884.74,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/5,0:0:0,20946.14,20946.14,20946.14,20946.14,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/8,0:0:0,20490.57,20490.57,20490.57,20490.57,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/9,0:0:0,19330.70,19330.70,19330.70,19330.70,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/10,0:0:0,19783.67,19783.67,19783.67,19783.67,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/11,0:0:0,19595.14,19595.14,19595.14,19595.14,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/12,0:0:0,19620.01,19620.01,19620.01,19620.01,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/15,0:0:0,20260.10,20260.10,20260.10,20260.10,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/16,0:0:0,20212.08,20212.08,20212.08,20212.08,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/17,0:0:0,20289.03,20289.03,20289.03,20289.03,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/18,0:0:0,20016.27,20016.27,20016.27,20016.27,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/19,0:0:0,19399.92,19399.92,19399.92,19399.92,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/22,0:0:0,19486.87,19486.87,19486.87,19486.87,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/23,0:0:0,19875.53,19875.53,19875.53,19875.53,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/24,0:0:0,19466.79,19466.79,19466.79,19466.79,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/25,0:0:0,19752.48,19752.48,19752.48,19752.48,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/26,0:0:0,19582.88,19582.88,19582.88,19582.88,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/29,0:0:0,19865.11,19865.11,19865.11,19865.11,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/30,0:0:0,20204.17,20204.17,20204.17,20204.17,NaN
BHSI60-HKS,香港ハンセン指数,,2011/8/31,0:0:0,20534.85,20534.85,20534.85,20534.85,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/1,0:0:0,20585.33,20585.33,20585.33,20585.33,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/2,0:0:0,20212.91,20212.91,20212.91,20212.91,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/5,0:0:0,19616.40,19616.40,19616.40,19616.40,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/6,0:0:0,19710.50,19710.50,19710.50,19710.50,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/7,0:0:0,20048.00,20048.00,20048.00,20048.00,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/8,0:0:0,19912.82,19912.82,19912.82,19912.82,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/9,0:0:0,19866.63,19866.63,19866.63,19866.63,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/12,0:0:0,19030.54,19030.54,19030.54,19030.54,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/14,0:0:0,19045.44,19045.44,19045.44,19045.44,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/15,0:0:0,19181.50,19181.50,19181.50,19181.50,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/16,0:0:0,19455.31,19455.31,19455.31,19455.31,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/19,0:0:0,18917.95,18917.95,18917.95,18917.95,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/20,0:0:0,19014.80,19014.80,19014.80,19014.80,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/21,0:0:0,18824.17,18824.17,18824.17,18824.17,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/22,0:0:0,17911.95,17911.95,17911.95,17911.95,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/23,0:0:0,17668.83,17668.83,17668.83,17668.83,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/26,0:0:0,17407.80,17407.80,17407.80,17407.80,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/27,0:0:0,18130.55,18130.55,18130.55,18130.55,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/28,0:0:0,18011.06,18011.06,18011.06,18011.06,NaN
BHSI60-HKS,香港ハンセン指数,,2011/9/30,0:0:0,17592.41,17592.41,17592.41,17592.41,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/3,0:0:0,16822.15,16822.15,16822.15,16822.15,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/4,0:0:0,16250.27,16250.27,16250.27,16250.27,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/6,0:0:0,17172.28,17172.28,17172.28,17172.28,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/7,0:0:0,17707.01,17707.01,17707.01,17707.01,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/10,0:0:0,17711.06,17711.06,17711.06,17711.06,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/11,0:0:0,18141.59,18141.59,18141.59,18141.59,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/12,0:0:0,18329.46,18329.46,18329.46,18329.46,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/13,0:0:0,18757.81,18757.81,18757.81,18757.81,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/14,0:0:0,18501.79,18501.79,18501.79,18501.79,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/17,0:0:0,18873.99,18873.99,18873.99,18873.99,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/18,0:0:0,18076.46,18076.46,18076.46,18076.46,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/19,0:0:0,18309.22,18309.22,18309.22,18309.22,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/20,0:0:0,17983.10,17983.10,17983.10,17983.10,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/21,0:0:0,18025.72,18025.72,18025.72,18025.72,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/24,0:0:0,18771.82,18771.82,18771.82,18771.82,NaN
BHSI60-HKS,香港ハンセン指数,,2011/10/25,0:0:0,18968.20,18968.20,18968.20,18968.20,NaN
