銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高
15710,日経インバ,東証,2012/4/12,0:0:0,5970,5990,5930,5940,7317
15710,日経インバ,東証,2012/4/13,0:0:0,5870,5890,5840,5870,12035
15710,日経インバ,東証,2012/4/16,0:0:0,5940,5980,5930,5980,10844
15710,日経インバ,東証,2012/4/17,0:0:0,5960,5980,5940,5970,15287
15710,日経インバ,東証,2012/4/18,0:0:0,5880,5890,5840,5850,16480
15710,日経インバ,東証,2012/4/19,0:0:0,5890,5910,5870,5890,39160
15710,日経インバ,東証,2012/4/20,0:0:0,5910,5930,5900,5910,7385
15710,日経インバ,東証,2012/4/23,0:0:0,5890,5940,5860,5920,5232
15710,日経インバ,東証,2012/4/24,0:0:0,5970,6000,5950,5960,14185
15710,日経インバ,東証,2012/4/25,0:0:0,5890,5930,5890,5910,19228
15710,日経インバ,東証,2012/4/26,0:0:0,5880,5930,5870,5910,22110
15710,日経インバ,東証,2012/4/27,0:0:0,5910,5960,5830,5950,67662
15710,日経インバ,東証,2012/5/1,0:0:0,5970,6050,5970,6040,33133
15710,日経インバ,東証,2012/5/2,0:0:0,6000,6040,5990,6030,22126
15710,日経インバ,東証,2012/5/7,0:0:0,6200,6200,6150,6190,51892
15710,日経インバ,東証,2012/5/8,0:0:0,6130,6160,6130,6150,18151
15710,日経インバ,東証,2012/5/9,0:0:0,6200,6260,6200,6230,35065
15710,日経インバ,東証,2012/5/10,0:0:0,6270,6280,6210,6250,25571
15710,日経インバ,東証,2012/5/11,0:0:0,6260,6320,6230,6320,51434
15710,日経インバ,東証,2012/5/14,0:0:0,6280,6310,6240,6290,27218
15710,日経インバ,東証,2012/5/15,0:0:0,6340,6380,6320,6320,36187
15710,日経インバ,東証,2012/5/16,0:0:0,6360,6440,6350,6430,55915
15710,日経インバ,東証,2012/5/17,0:0:0,6420,6440,6340,6360,54463
15710,日経インバ,東証,2012/5/18,0:0:0,6490,6560,6480,6550,84053
15710,日経インバ,東証,2012/5/21,0:0:0,6540,6550,6490,6530,27327
15710,日経インバ,東証,2012/5/22,0:0:0,6450,6480,6440,6460,24137
15710,日経インバ,東証,2012/5/23,0:0:0,6460,6600,6460,6580,56001
15710,日経インバ,東証,2012/5/24,0:0:0,6580,6630,6550,6570,55017
15710,日経インバ,東証,2012/5/25,0:0:0,6550,6590,6530,6550,30298
15710,日経インバ,東証,2012/5/28,0:0:0,6530,6570,6530,6540,19270
15710,日経インバ,東証,2012/5/29,0:0:0,6560,6610,6500,6500,46265
15710,日経インバ,東証,2012/5/30,0:0:0,6510,6570,6510,6540,22433
15710,日経インバ,東証,2012/5/31,0:0:0,6630,6660,6590,6600,151461
15710,日経インバ,東証,2012/6/1,0:0:0,6650,6680,6620,6680,89393
15710,日経インバ,東証,2012/6/4,0:0:0,6820,6820,6780,6790,64110
15710,日経インバ,東証,2012/6/5,0:0:0,6750,6770,6700,6700,26011
15710,日経インバ,東証,2012/6/6,0:0:0,6650,6690,6570,6600,215313
15710,日経インバ,東証,2012/6/7,0:0:0,6500,6540,6490,6520,59240
15710,日経インバ,東証,2012/6/8,0:0:0,6520,6670,6520,6650,147863
15710,日経インバ,東証,2012/6/11,0:0:0,6510,6540,6480,6510,83151
15710,日経インバ,東証,2012/6/12,0:0:0,6630,6650,6550,6580,43532
15710,日経インバ,東証,2012/6/13,0:0:0,6550,6570,6520,6540,29714
15710,日経インバ,東証,2012/6/14,0:0:0,6590,6590,6540,6540,24380
15710,日経インバ,東証,2012/6/15,0:0:0,6510,6570,6510,6560,36783
15710,日経インバ,東証,2012/6/18,0:0:0,6410,6450,6400,6420,40103
15710,日経インバ,東証,2012/6/19,0:0:0,6460,6500,6440,6480,20875
15710,日経インバ,東証,2012/6/20,0:0:0,6430,6450,6400,6420,63674
15710,日経インバ,東証,2012/6/21,0:0:0,6370,6390,6340,6360,100980
15710,日経インバ,東証,2012/6/22,0:0:0,6420,6440,6350,6380,104343
15710,日経インバ,東証,2012/6/25,0:0:0,6350,6440,6350,6430,22778
15710,日経インバ,東証,2012/6/26,0:0:0,6480,6510,6440,6460,40779
15710,日経インバ,東証,2012/6/27,0:0:0,6470,6490,6410,6420,29509
15710,日経インバ,東証,2012/6/28,0:0:0,6360,6370,6310,6310,42088
15710,日経インバ,東証,2012/6/29,0:0:0,6350,6370,6190,6220,57955
15710,日経インバ,東証,2012/7/2,0:0:0,6160,6220,6160,6220,40777
15710,日経インバ,東証,2012/7/3,0:0:0,6220,6220,6160,6170,39952
15710,日経インバ,東証,2012/7/4,0:0:0,6140,6170,6130,6160,34733
15710,日経インバ,東証,2012/7/5,0:0:0,6170,6180,6130,6160,77755
15710,日経インバ,東証,2012/7/6,0:0:0,6190,6240,6170,6210,47300
15710,日経インバ,東証,2012/7/9,0:0:0,6280,6310,6250,6310,51918
15710,日経インバ,東証,2012/7/10,0:0:0,6280,6320,6240,6310,47025
15710,日経インバ,東証,2012/7/11,0:0:0,6340,6360,6310,6320,53186
15710,日経インバ,東証,2012/7/12,0:0:0,6320,6430,6310,6420,93282
15710,日経インバ,東証,2012/7/13,0:0:0,6430,6430,6380,6430,75087
15710,日経インバ,東証,2012/7/17,0:0:0,6410,6420,6350,6390,70490
15710,日経インバ,東証,2012/7/18,0:0:0,6360,6420,6350,6400,24497
15710,日経インバ,東証,2012/7/19,0:0:0,6350,6370,6320,6350,15888
15710,日経インバ,東証,2012/7/20,0:0:0,6370,6460,6360,6440,125641
15710,日経インバ,東証,2012/7/23,0:0:0,6510,6580,6490,6560,78330
15710,日経インバ,東証,2012/7/24,0:0:0,6570,6620,6560,6590,195903
15710,日経インバ,東証,2012/7/25,0:0:0,6650,6710,6620,6680,82850
15710,日経インバ,東証,2012/7/26,0:0:0,6640,6680,6600,6600,41718
15710,日経インバ,東証,2012/7/27,0:0:0,6510,6560,6510,6520,64122
15710,日経インバ,東証,2012/7/30,0:0:0,6450,6500,6430,6480,78176
15710,日経インバ,東証,2012/7/31,0:0:0,6500,6510,6380,6420,37003
15710,日経インバ,東証,2012/8/1,0:0:0,6480,6510,6440,6460,69272
15710,日経インバ,東証,2012/8/2,0:0:0,6450,6460,6410,6460,21516
15710,日経インバ,東証,2012/8/3,0:0:0,6530,6550,6510,6520,44593
15710,日経インバ,東証,2012/8/6,0:0:0,6420,6430,6370,6390,62328
15710,日経インバ,東証,2012/8/7,0:0:0,6390,6400,6320,6330,67835
15710,日経インバ,東証,2012/8/8,0:0:0,6260,6300,6220,6290,89193
15710,日経インバ,東証,2012/8/9,0:0:0,6280,6290,6190,6210,91367
15710,日経インバ,東証,2012/8/10,0:0:0,6240,6290,6220,6280,44557
15710,日経インバ,東証,2012/8/13,0:0:0,6260,6290,6260,6270,20834
15710,日経インバ,東証,2012/8/14,0:0:0,6260,6270,6210,6250,35621
15710,日経インバ,東証,2012/8/15,0:0:0,6230,6290,6220,6240,26792
15710,日経インバ,東証,2012/8/16,0:0:0,6220,6220,6120,6140,64946
15710,日経インバ,東証,2012/8/17,0:0:0,6120,6130,6060,6070,74094
15710,日経インバ,東証,2012/8/20,0:0:0,6060,6090,6040,6050,54561
15710,日経インバ,東証,2012/8/21,0:0:0,6080,6090,6060,6090,38033
15710,日経インバ,東証,2012/8/22,0:0:0,6080,6140,6080,6100,52983
15710,日経インバ,東証,2012/8/23,0:0:0,6130,6150,6050,6080,36382
15710,日経インバ,東証,2012/8/24,0:0:0,6140,6160,6120,6150,36394
15710,日経インバ,東証,2012/8/27,0:0:0,6100,6130,6080,6120,22720
15710,日経インバ,東証,2012/8/28,0:0:0,6090,6190,6090,6160,52355
15710,日経インバ,東証,2012/8/29,0:0:0,6160,6160,6120,6120,31225
15710,日経インバ,東証,2012/8/30,0:0:0,6130,6210,6130,6200,59678
15710,日経インバ,東証,2012/8/31,0:0:0,6250,6300,6220,6300,121546
15710,日経インバ,東証,2012/9/3,0:0:0,6280,6340,6240,6330,90391
15710,日経インバ,東証,2012/9/4,0:0:0,6320,6370,6300,6330,71707
15710,日経インバ,東証,2012/9/5,0:0:0,6340,6410,6330,6400,82707
15710,日経インバ,東証,2012/9/6,0:0:0,6390,6420,6380,6390,42779
15710,日経インバ,東証,2012/9/7,0:0:0,6260,6310,6250,6250,97851
15710,日経インバ,東証,2012/9/10,0:0:0,6270,6290,6250,6250,49701
15710,日経インバ,東証,2012/9/11,0:0:0,6300,6330,6290,6300,33872
15710,日経インバ,東証,2012/9/12,0:0:0,6300,6300,6190,6190,43030
15710,日経インバ,東証,2012/9/13,0:0:0,6180,6220,6140,6160,149059
