銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高
101,日経平均,,2004/8/2,0:0:0,11274.45,11279.71,11161.84,11222.24,NaN
101,日経平均,,2004/8/3,0:0:0,11230.29,11258.88,11102.50,11140.57,NaN
101,日経平均,,2004/8/4,0:0:0,11077.52,11084.98,10888.78,11010.02,NaN
101,日経平均,,2004/8/5,0:0:0,11060.18,11104.69,10981.32,11060.89,NaN
101,日経平均,,2004/8/6,0:0:0,10944.61,10974.45,10894.65,10972.57,NaN
101,日経平均,,2004/8/9,0:0:0,10827.60,10916.46,10737.42,10908.70,NaN
101,日経平均,,2004/8/10,0:0:0,10849.70,10972.07,10849.70,10953.55,NaN
101,日経平均,,2004/8/11,0:0:0,11049.80,11076.38,10997.07,11049.46,NaN
101,日経平均,,2004/8/12,0:0:0,11005.13,11091.64,11005.13,11028.07,NaN
101,日経平均,,2004/8/13,0:0:0,10901.56,10903.61,10757.20,10757.20,NaN
101,日経平均,,2004/8/16,0:0:0,10728.98,10730.53,10545.89,10687.81,NaN
101,日経平均,,2004/8/17,0:0:0,10772.24,10802.64,10705.74,10725.97,NaN
101,日経平均,,2004/8/18,0:0:0,10724.82,10774.26,10659.21,10774.26,NaN
101,日経平均,,2004/8/19,0:0:0,10861.92,10908.74,10830.65,10903.53,NaN
101,日経平均,,2004/8/20,0:0:0,10859.08,10938.94,10837.01,10889.14,NaN
101,日経平均,,2004/8/23,0:0:0,10961.91,11007.64,10947.75,10960.97,NaN
101,日経平均,,2004/8/24,0:0:0,10978.62,11016.12,10897.11,10985.33,NaN
101,日経平均,,2004/8/25,0:0:0,10959.52,11143.75,10934.45,11130.02,NaN
101,日経平均,,2004/8/26,0:0:0,11196.29,11225.95,11101.63,11129.33,NaN
101,日経平均,,2004/8/27,0:0:0,11148.21,11209.59,11107.94,11209.59,NaN
101,日経平均,,2004/8/30,0:0:0,11181.30,11226.30,11128.71,11184.53,NaN
101,日経平均,,2004/8/31,0:0:0,11119.15,11154.28,11042.29,11081.79,NaN
101,日経平均,,2004/9/1,0:0:0,11104.85,11169.43,11102.41,11127.35,NaN
101,日経平均,,2004/9/2,0:0:0,11179.32,11190.51,11097.81,11152.75,NaN
101,日経平均,,2004/9/3,0:0:0,11182.10,11186.82,11013.36,11022.49,NaN
101,日経平均,,2004/9/6,0:0:0,11086.69,11270.36,11057.32,11244.37,NaN
101,日経平均,,2004/9/7,0:0:0,11275.28,11312.06,11226.78,11298.94,NaN
101,日経平均,,2004/9/8,0:0:0,11345.12,11357.85,11270.53,11279.19,NaN
101,日経平均,,2004/9/9,0:0:0,11276.49,11330.33,11145.79,11170.96,NaN
101,日経平均,,2004/9/10,0:0:0,11089.90,11089.96,10960.03,11083.23,NaN
101,日経平均,,2004/9/13,0:0:0,11139.97,11257.85,11131.03,11253.11,NaN
101,日経平均,,2004/9/14,0:0:0,11312.72,11352.42,11274.43,11295.58,NaN
101,日経平均,,2004/9/15,0:0:0,11278.66,11285.80,11158.58,11158.58,NaN
101,日経平均,,2004/9/16,0:0:0,11092.70,11177.66,11089.82,11139.36,NaN
101,日経平均,,2004/9/17,0:0:0,11132.06,11145.49,11046.10,11082.49,NaN
101,日経平均,,2004/9/21,0:0:0,11148.21,11151.11,11059.95,11080.87,NaN
101,日経平均,,2004/9/22,0:0:0,11111.30,11135.46,10963.82,11019.41,NaN
101,日経平均,,2004/9/24,0:0:0,10934.02,10934.02,10826.40,10895.16,NaN
101,日経平均,,2004/9/27,0:0:0,10863.35,10888.04,10782.56,10859.32,NaN
101,日経平均,,2004/9/28,0:0:0,10805.66,10821.84,10737.78,10815.57,NaN
101,日経平均,,2004/9/29,0:0:0,10873.88,10873.89,10770.23,10786.10,NaN
101,日経平均,,2004/9/30,0:0:0,10870.21,10928.19,10823.57,10823.57,NaN
101,日経平均,,2004/10/1,0:0:0,10893.19,10987.18,10893.19,10985.17,NaN
101,日経平均,,2004/10/4,0:0:0,11111.45,11282.65,11105.00,11279.63,NaN
101,日経平均,,2004/10/5,0:0:0,11257.20,11304.72,11242.12,11281.83,NaN
101,日経平均,,2004/10/6,0:0:0,11221.54,11408.10,11218.38,11385.38,NaN
101,日経平均,,2004/10/7,0:0:0,11399.42,11410.40,11337.19,11354.59,NaN
101,日経平均,,2004/10/8,0:0:0,11311.41,11370.34,11302.75,11349.35,NaN
101,日経平均,,2004/10/12,0:0:0,11295.05,11320.79,11182.50,11201.81,NaN
101,日経平均,,2004/10/13,0:0:0,11235.46,11306.87,11195.99,11195.99,NaN
101,日経平均,,2004/10/14,0:0:0,11150.59,11150.59,11033.31,11034.29,NaN
101,日経平均,,2004/10/15,0:0:0,10960.25,11015.45,10913.21,10982.95,NaN
101,日経平均,,2004/10/18,0:0:0,11022.11,11022.11,10914.47,10965.62,NaN
101,日経平均,,2004/10/19,0:0:0,11028.38,11106.82,11024.38,11064.86,NaN
101,日経平均,,2004/10/20,0:0:0,10992.50,10992.50,10853.89,10882.18,NaN
101,日経平均,,2004/10/21,0:0:0,10882.05,10901.34,10753.07,10789.23,NaN
101,日経平均,,2004/10/22,0:0:0,10848.75,10892.27,10811.15,10857.13,NaN
101,日経平均,,2004/10/25,0:0:0,10718.93,10718.93,10575.23,10659.15,NaN
101,日経平均,,2004/10/26,0:0:0,10652.37,10683.94,10626.60,10672.46,NaN
101,日経平均,,2004/10/27,0:0:0,10740.65,10777.43,10657.15,10691.95,NaN
101,日経平均,,2004/10/28,0:0:0,10809.10,10895.09,10798.13,10853.12,NaN
101,日経平均,,2004/10/29,0:0:0,10805.12,10805.12,10719.10,10771.42,NaN
101,日経平均,,2004/11/1,0:0:0,10731.02,10735.19,10690.95,10734.71,NaN
101,日経平均,,2004/11/2,0:0:0,10775.00,10895.70,10775.00,10887.81,NaN
101,日経平均,,2004/11/4,0:0:0,10990.70,11005.20,10946.27,10946.27,NaN
101,日経平均,,2004/11/5,0:0:0,11040.06,11089.60,11023.16,11061.77,NaN
101,日経平均,,2004/11/8,0:0:0,11095.50,11096.45,10974.33,10983.83,NaN
101,日経平均,,2004/11/9,0:0:0,10967.17,11040.44,10945.10,10964.87,NaN
101,日経平均,,2004/11/10,0:0:0,10972.63,11030.22,10965.91,10994.96,NaN
101,日経平均,,2004/11/11,0:0:0,11021.88,11048.29,10845.07,10846.92,NaN
101,日経平均,,2004/11/12,0:0:0,10841.43,11026.93,10841.43,11019.98,NaN
101,日経平均,,2004/11/15,0:0:0,11079.17,11231.14,11073.77,11227.57,NaN
101,日経平均,,2004/11/16,0:0:0,11234.72,11268.81,11143.56,11161.75,NaN
101,日経平均,,2004/11/17,0:0:0,11132.05,11192.33,11127.20,11131.29,NaN
101,日経平均,,2004/11/18,0:0:0,11182.09,11235.32,11062.73,11082.42,NaN
101,日経平均,,2004/11/19,0:0:0,11120.94,11158.45,11077.09,11082.84,NaN
101,日経平均,,2004/11/22,0:0:0,10956.41,10956.41,10769.52,10849.39,NaN
101,日経平均,,2004/11/24,0:0:0,10832.02,10915.20,10828.11,10872.33,NaN
101,日経平均,,2004/11/25,0:0:0,10853.10,10900.34,10818.24,10900.34,NaN
101,日経平均,,2004/11/26,0:0:0,10924.45,10927.44,10816.38,10833.75,NaN
101,日経平均,,2004/11/29,0:0:0,10844.36,11013.30,10844.31,10977.89,NaN
101,日経平均,,2004/11/30,0:0:0,10909.25,10923.56,10841.27,10899.25,NaN
101,日経平均,,2004/12/1,0:0:0,10790.45,10800.33,10721.59,10784.25,NaN
101,日経平均,,2004/12/2,0:0:0,10922.57,10995.38,10912.87,10973.07,NaN
101,日経平均,,2004/12/3,0:0:0,11064.25,11107.10,11059.56,11074.89,NaN
101,日経平均,,2004/12/6,0:0:0,11021.16,11026.86,10959.49,10981.96,NaN
101,日経平均,,2004/12/7,0:0:0,10971.21,11001.68,10863.81,10873.63,NaN
101,日経平均,,2004/12/8,0:0:0,10808.44,10948.97,10808.44,10941.37,NaN
101,日経平均,,2004/12/9,0:0:0,10930.87,10930.87,10742.73,10776.63,NaN
101,日経平均,,2004/12/10,0:0:0,10730.38,10828.67,10730.38,10756.80,NaN
101,日経平均,,2004/12/13,0:0:0,10825.06,10854.76,10785.59,10789.25,NaN
101,日経平均,,2004/12/14,0:0:0,10842.80,10941.70,10821.36,10915.58,NaN
101,日経平均,,2004/12/15,0:0:0,10952.71,10999.92,10921.65,10956.46,NaN
101,日経平均,,2004/12/16,0:0:0,10909.29,10980.21,10871.69,10924.37,NaN
101,日経平均,,2004/12/17,0:0:0,10939.20,11130.82,10921.81,11078.32,NaN
101,日経平均,,2004/12/20,0:0:0,11073.55,11129.13,11036.80,11103.42,NaN
101,日経平均,,2004/12/21,0:0:0,11125.22,11186.71,11125.22,11125.92,NaN
101,日経平均,,2004/12/22,0:0:0,11205.92,11240.18,11193.67,11209.44,NaN
101,日経平均,,2004/12/24,0:0:0,11302.46,11369.98,11302.46,11365.48,NaN
