銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高
14590,楽天Ｗベア,東証,2015/7/15,0:0:0,9980,10030,9950,9960,12069
14590,楽天Ｗベア,東証,2015/7/16,0:0:0,9850,9920,9840,9850,24540
14590,楽天Ｗベア,東証,2015/7/17,0:0:0,9790,9830,9780,9790,28670
14590,楽天Ｗベア,東証,2015/7/21,0:0:0,9670,9730,9600,9610,34385
14590,楽天Ｗベア,東証,2015/7/22,0:0:0,9790,9850,9750,9840,27866
14590,楽天Ｗベア,東証,2015/7/23,0:0:0,9760,9780,9730,9760,8378
14590,楽天Ｗベア,東証,2015/7/24,0:0:0,9820,9900,9790,9880,18074
14590,楽天Ｗベア,東証,2015/7/27,0:0:0,10030,10140,9930,10050,21241
14590,楽天Ｗベア,東証,2015/7/28,0:0:0,10270,10340,9980,10060,43247
14590,楽天Ｗベア,東証,2015/7/29,0:0:0,10080,10210,10080,10130,12357
14590,楽天Ｗベア,東証,2015/7/30,0:0:0,9950,9970,9840,9880,30627
14590,楽天Ｗベア,東証,2015/7/31,0:0:0,9900,9940,9850,9860,28611
14590,楽天Ｗベア,東証,2015/8/3,0:0:0,9890,10010,9860,9870,35793
14590,楽天Ｗベア,東証,2015/8/4,0:0:0,9970,9980,9870,9920,30008
14590,楽天Ｗベア,東証,2015/8/5,0:0:0,9940,9940,9710,9780,37388
14590,楽天Ｗベア,東証,2015/8/6,0:0:0,9650,9750,9620,9750,51477
14590,楽天Ｗベア,東証,2015/8/7,0:0:0,9790,9840,9680,9700,45989
14590,楽天Ｗベア,東証,2015/8/10,0:0:0,9790,9800,9620,9640,39511
14590,楽天Ｗベア,東証,2015/8/11,0:0:0,9530,9830,9490,9700,72181
14590,楽天Ｗベア,東証,2015/8/12,0:0:0,9790,10090,9730,10010,82553
14590,楽天Ｗベア,東証,2015/8/13,0:0:0,9990,10100,9760,9800,48273
14590,楽天Ｗベア,東証,2015/8/14,0:0:0,9870,9910,9790,9880,20313
14590,楽天Ｗベア,東証,2015/8/17,0:0:0,9810,9850,9730,9770,29468
14590,楽天Ｗベア,東証,2015/8/18,0:0:0,9750,9850,9740,9850,20418
14590,楽天Ｗベア,東証,2015/8/19,0:0:0,9910,10170,9880,10160,43164
14590,楽天Ｗベア,東証,2015/8/20,0:0:0,10190,10340,10130,10330,32223
14590,楽天Ｗベア,東証,2015/8/21,0:0:0,10730,10960,10690,10940,60800
14590,楽天Ｗベア,東証,2015/8/24,0:0:0,11420,12030,11330,11950,164273
14590,楽天Ｗベア,東証,2015/8/25,0:0:0,12700,13010,11560,12890,273904
14590,楽天Ｗベア,東証,2015/8/26,0:0:0,12930,13080,11960,12060,187488
14590,楽天Ｗベア,東証,2015/8/27,0:0:0,11600,11900,11500,11780,55797
14590,楽天Ｗベア,東証,2015/8/28,0:0:0,11200,11320,11000,11070,62704
14590,楽天Ｗベア,東証,2015/8/31,0:0:0,11210,11520,11200,11380,77449
14590,楽天Ｗベア,東証,2015/9/1,0:0:0,11520,12200,11500,12190,132589
14590,楽天Ｗベア,東証,2015/9/2,0:0:0,12610,12610,11780,12280,245771
14590,楽天Ｗベア,東証,2015/9/3,0:0:0,11880,12190,11790,12160,87885
14590,楽天Ｗベア,東証,2015/9/4,0:0:0,12010,12970,12010,12690,123083
14590,楽天Ｗベア,東証,2015/9/7,0:0:0,12830,13150,12380,12600,170502
14590,楽天Ｗベア,東証,2015/9/8,0:0:0,12530,13230,12430,13190,153699
14590,楽天Ｗベア,東証,2015/9/9,0:0:0,12270,12380,11240,11300,187304
14590,楽天Ｗベア,東証,2015/9/10,0:0:0,12070,12200,11740,11740,155167
14590,楽天Ｗベア,東証,2015/9/11,0:0:0,12010,12020,11710,11830,74805
14590,楽天Ｗベア,東証,2015/9/14,0:0:0,11730,12270,11710,12180,84356
14590,楽天Ｗベア,東証,2015/9/15,0:0:0,12050,12180,11720,12110,104754
14590,楽天Ｗベア,東証,2015/9/16,0:0:0,11810,12020,11750,11910,84962
14590,楽天Ｗベア,東証,2015/9/17,0:0:0,11630,11750,11520,11560,103510
14590,楽天Ｗベア,東証,2015/9/18,0:0:0,11750,12040,11730,11960,134658
14590,楽天Ｗベア,東証,2015/9/24,0:0:0,12420,12670,12360,12670,70262
14590,楽天Ｗベア,東証,2015/9/25,0:0:0,12630,12820,12250,12300,144228
14590,楽天Ｗベア,東証,2015/9/28,0:0:0,12180,12520,12130,12360,86986
14590,楽天Ｗベア,東証,2015/9/29,0:0:0,12890,13440,12860,13390,122277
14590,楽天Ｗベア,東証,2015/9/30,0:0:0,12930,13020,12560,12760,88351
14590,楽天Ｗベア,東証,2015/10/1,0:0:0,12530,12690,12030,12160,113121
14590,楽天Ｗベア,東証,2015/10/2,0:0:0,12410,12470,12120,12200,87679
14590,楽天Ｗベア,東証,2015/10/5,0:0:0,11910,12000,11710,11830,76006
14590,楽天Ｗベア,東証,2015/10/6,0:0:0,11380,11690,11340,11670,81289
14590,楽天Ｗベア,東証,2015/10/7,0:0:0,11610,11760,11340,11450,80093
14590,楽天Ｗベア,東証,2015/10/8,0:0:0,11400,11640,11300,11620,88889
14590,楽天Ｗベア,東証,2015/10/9,0:0:0,11530,11590,11200,11200,68599
14590,楽天Ｗベア,東証,2015/10/13,0:0:0,11360,11490,11310,11430,50835
14590,楽天Ｗベア,東証,2015/10/14,0:0:0,11650,11970,11600,11890,87113
14590,楽天Ｗベア,東証,2015/10/15,0:0:0,12060,12100,11540,11660,50617
