銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高
13060,野村東証指数,東証,2004/8/2,0:0:0,1142,1145,1134,1137,2955900
13060,野村東証指数,東証,2004/8/3,0:0:0,1137,1142,1125,1130,3688600
13060,野村東証指数,東証,2004/8/4,0:0:0,1123,1126,1105,1121,5029900
13060,野村東証指数,東証,2004/8/5,0:0:0,1123,1127,1115,1123,3941100
13060,野村東証指数,東証,2004/8/6,0:0:0,1109,1114,1106,1114,3355400
13060,野村東証指数,東証,2004/8/9,0:0:0,1090,1107,1090,1106,8258500
13060,野村東証指数,東証,2004/8/10,0:0:0,1096,1112,1096,1111,5559900
13060,野村東証指数,東証,2004/8/11,0:0:0,1123,1126,1119,1125,4977500
13060,野村東証指数,東証,2004/8/12,0:0:0,1120,1128,1120,1123,6753000
13060,野村東証指数,東証,2004/8/13,0:0:0,1106,1110,1101,1103,1301500
13060,野村東証指数,東証,2004/8/16,0:0:0,1093,1098,1077,1089,5273100
13060,野村東証指数,東証,2004/8/17,0:0:0,1098,1101,1092,1093,3618300
13060,野村東証指数,東証,2004/8/18,0:0:0,1098,1099,1088,1098,3603300
13060,野村東証指数,東証,2004/8/19,0:0:0,1109,1112,1104,1112,3656700
13060,野村東証指数,東証,2004/8/20,0:0:0,1107,1117,1107,1116,3427100
13060,野村東証指数,東証,2004/8/23,0:0:0,1120,1125,1118,1119,2168700
13060,野村東証指数,東証,2004/8/24,0:0:0,1121,1124,1113,1123,2446900
13060,野村東証指数,東証,2004/8/25,0:0:0,1122,1134,1118,1133,1316600
13060,野村東証指数,東証,2004/8/26,0:0:0,1140,1142,1130,1134,741500
13060,野村東証指数,東証,2004/8/27,0:0:0,1135,1141,1133,1141,899700
13060,野村東証指数,東証,2004/8/30,0:0:0,1144,1145,1137,1144,4351600
13060,野村東証指数,東証,2004/8/31,0:0:0,1138,1139,1129,1129,5129700
13060,野村東証指数,東証,2004/9/1,0:0:0,1136,1144,1135,1139,4249600
13060,野村東証指数,東証,2004/9/2,0:0:0,1141,1145,1137,1142,5133500
13060,野村東証指数,東証,2004/9/3,0:0:0,1144,1146,1128,1131,4871600
13060,野村東証指数,東証,2004/9/6,0:0:0,1134,1151,1133,1148,7079000
13060,野村東証指数,東証,2004/9/7,0:0:0,1148,1151,1143,1148,10733800
13060,野村東証指数,東証,2004/9/8,0:0:0,1152,1156,1147,1149,1757100
13060,野村東証指数,東証,2004/9/9,0:0:0,1149,1151,1136,1138,4632600
13060,野村東証指数,東証,2004/9/10,0:0:0,1128,1132,1121,1127,7327500
13060,野村東証指数,東証,2004/9/13,0:0:0,1137,1145,1135,1143,3659600
13060,野村東証指数,東証,2004/9/14,0:0:0,1147,1152,1144,1147,2279300
13060,野村東証指数,東証,2004/9/15,0:0:0,1145,1145,1132,1134,1776400
13060,野村東証指数,東証,2004/9/16,0:0:0,1125,1131,1124,1128,3075200
13060,野村東証指数,東証,2004/9/17,0:0:0,1131,1131,1120,1124,2768000
13060,野村東証指数,東証,2004/9/21,0:0:0,1129,1129,1119,1120,2500500
13060,野村東証指数,東証,2004/9/22,0:0:0,1125,1125,1112,1117,2736800
13060,野村東証指数,東証,2004/9/24,0:0:0,1101,1107,1100,1101,5439000
13060,野村東証指数,東証,2004/9/27,0:0:0,1106,1110,1096,1104,3503000
13060,野村東証指数,東証,2004/9/28,0:0:0,1096,1101,1091,1101,5526400
13060,野村東証指数,東証,2004/9/29,0:0:0,1105,1107,1095,1097,5381800
13060,野村東証指数,東証,2004/9/30,0:0:0,1109,1114,1103,1110,1535900
