銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高
13060,野村東証指数,東証,2018/12/7,0:0:0,1669,1676,1658,1672,1305830
13060,野村東証指数,東証,2018/12/10,0:0:0,1642,1647,1637,1641,1999390
13060,野村東証指数,東証,2018/12/11,0:0:0,1643,1643,1622,1624,2010500
13060,野村東証指数,東証,2018/12/12,0:0:0,1642,1661,1638,1658,1299270
13060,野村東証指数,東証,2018/12/13,0:0:0,1666,1676,1661,1669,921460
13060,野村東証指数,東証,2018/12/14,0:0:0,1659,1666,1640,1642,1097780
13060,野村東証指数,東証,2018/12/17,0:0:0,1642,1653,1642,1645,836140
13060,野村東証指数,東証,2018/12/18,0:0:0,1625,1630,1613,1613,1872310
13060,野村東証指数,東証,2018/12/19,0:0:0,1607,1614,1595,1605,2125790
13060,野村東証指数,東証,2018/12/20,0:0:0,1597,1600,1559,1564,2800660
13060,野村東証指数,東証,2018/12/21,0:0:0,1555,1557,1525,1534,2986720
13060,野村東証指数,東証,2018/12/25,0:0:0,1477,1479,1457,1463,2447170
13060,野村東証指数,東証,2018/12/26,0:0:0,1473,1492,1455,1480,1578800
13060,野村東証指数,東証,2018/12/27,0:0:0,1541,1559,1528,1552,2197690
13060,野村東証指数,東証,2018/12/28,0:0:0,1540,1551,1535,1547,2238720
13060,野村東証指数,東証,2019/1/4,0:0:0,1507,1519,1494,1519,2046840
13060,野村東証指数,東証,2019/1/7,0:0:0,1567,1572,1560,1562,2021930
13060,野村東証指数,東証,2019/1/8,0:0:0,1573,1581,1566,1569,2796380
13060,野村東証指数,東証,2019/1/9,0:0:0,1586,1592,1582,1584,2097150
13060,野村東証指数,東証,2019/1/10,0:0:0,1572,1579,1564,1574,1021260
13060,野村東証指数,東証,2019/1/11,0:0:0,1583,1587,1576,1581,1053660
13060,野村東証指数,東証,2019/1/15,0:0:0,1571,1596,1568,1593,824000
13060,野村東証指数,東証,2019/1/16,0:0:0,1594,1594,1580,1587,952810
13060,野村東証指数,東証,2019/1/17,0:0:0,1599,1601,1588,1594,2305360
13060,野村東証指数,東証,2019/1/18,0:0:0,1597,1616,1597,1609,1168320
13060,野村東証指数,東証,2019/1/21,0:0:0,1626,1628,1616,1622,1764890
13060,野村東証指数,東証,2019/1/22,0:0:0,1622,1626,1605,1607,838090
13060,野村東証指数,東証,2019/1/23,0:0:0,1598,1609,1595,1599,862860
13060,野村東証指数,東証,2019/1/24,0:0:0,1591,1606,1589,1603,1254340
13060,野村東証指数,東証,2019/1/25,0:0:0,1607,1624,1606,1620,1592780
13060,野村東証指数,東証,2019/1/28,0:0:0,1617,1617,1605,1608,1715380
